#
PriLevel,SecLevel,Trigger,Sync,ToothTime,Time
Flag,Flag,Flag,Flag,ms,ms
MARK 000
1.0,1.0,0.0,1.0,339.841,339.841
1.0,0.0,1.0,1.0,3.654,343.496
0.0,0.0,0.0,1.0,0.953,344.449
1.0,0.0,0.0,1.0,7.292,351.741
0.0,0.0,0.0,1.0,4.609,356.350
1.0,1.0,0.0,1.0,7.296,363.645
0.0,1.0,0.0,1.0,4.620,368.265
0.0,0.0,1.0,1.0,3.716,371.982
1.0,0.0,0.0,1.0,3.612,375.593
0.0,0.0,0.0,1.0,4.604,380.198
1.0,1.0,0.0,1.0,7.306,387.503
1.0,0.0,1.0,1.0,3.669,391.172
0.0,0.0,0.0,1.0,0.952,392.124
1.0,0.0,0.0,1.0,7.325,399.449
0.0,0.0,0.0,1.0,4.624,404.073
1.0,1.0,0.0,1.0,7.310,411.383
0.0,1.0,0.0,1.0,4.617,416.000
0.0,0.0,1.0,1.0,3.711,419.710
1.0,0.0,0.0,1.0,3.621,423.331
0.0,0.0,0.0,1.0,4.608,427.939
1.0,1.0,0.0,1.0,7.322,435.261
1.0,0.0,1.0,1.0,3.668,438.930
0.0,0.0,0.0,1.0,0.957,439.887
1.0,0.0,0.0,1.0,7.323,447.210
0.0,0.0,0.0,1.0,4.627,451.837
1.0,1.0,0.0,1.0,7.318,459.155
0.0,1.0,0.0,1.0,4.626,463.781
0.0,0.0,1.0,1.0,3.716,467.497
1.0,0.0,0.0,1.0,3.608,471.105
0.0,0.0,0.0,1.0,4.596,475.700
1.0,1.0,0.0,1.0,7.308,483.008
1.0,0.0,1.0,1.0,3.637,486.644
0.0,0.0,0.0,1.0,0.955,487.599
1.0,0.0,0.0,1.0,7.294,494.893
0.0,0.0,0.0,1.0,4.597,499.490
1.0,1.0,0.0,1.0,7.275,506.764
0.0,1.0,0.0,1.0,4.593,511.357
0.0,0.0,1.0,1.0,3.693,515.050
1.0,0.0,0.0,1.0,3.592,518.642
0.0,0.0,0.0,1.0,4.571,523.213
1.0,1.0,0.0,1.0,7.274,530.487
1.0,0.0,1.0,1.0,3.626,534.113
0.0,0.0,0.0,1.0,0.949,535.062
1.0,0.0,0.0,1.0,7.267,542.329
0.0,0.0,0.0,1.0,4.588,546.916
1.0,1.0,0.0,1.0,7.261,554.177
0.0,1.0,0.0,1.0,4.600,558.776
0.0,0.0,1.0,1.0,3.691,562.467
1.0,0.0,0.0,1.0,3.587,566.054
0.0,0.0,0.0,1.0,4.569,570.623
1.0,1.0,0.0,1.0,7.256,577.880
1.0,0.0,1.0,1.0,3.643,581.523
0.0,0.0,0.0,1.0,0.944,582.467
1.0,0.0,0.0,1.0,7.275,589.742
0.0,0.0,0.0,1.0,4.592,594.334
1.0,1.0,0.0,1.0,7.271,601.605
0.0,1.0,0.0,1.0,4.605,606.211
0.0,0.0,1.0,1.0,3.702,609.913
1.0,0.0,0.0,1.0,3.591,613.504
0.0,0.0,0.0,1.0,4.580,618.083
1.0,1.0,0.0,1.0,7.283,625.367
1.0,0.0,1.0,1.0,3.656,629.023
0.0,0.0,0.0,1.0,0.950,629.973
1.0,0.0,0.0,1.0,7.302,637.275
0.0,0.0,0.0,1.0,4.603,641.878
1.0,1.0,0.0,1.0,7.290,649.167
0.0,1.0,0.0,1.0,4.604,653.772
0.0,0.0,1.0,1.0,3.703,657.474
1.0,0.0,0.0,1.0,3.604,661.078
0.0,0.0,0.0,1.0,4.581,665.659
1.0,1.0,0.0,1.0,7.284,672.944
1.0,0.0,1.0,1.0,3.656,676.600
0.0,0.0,0.0,1.0,0.952,677.552
1.0,0.0,0.0,1.0,7.304,684.856
0.0,0.0,0.0,1.0,4.609,689.465
1.0,1.0,0.0,1.0,7.281,696.746
0.0,1.0,0.0,1.0,4.598,701.344
0.0,0.0,1.0,1.0,3.691,705.036
1.0,0.0,0.0,1.0,3.600,708.635
0.0,0.0,0.0,1.0,4.575,713.210
1.0,1.0,0.0,1.0,7.255,720.465
1.0,0.0,1.0,1.0,3.645,724.110
0.0,0.0,0.0,1.0,0.948,725.057
1.0,0.0,0.0,1.0,7.271,732.328
0.0,0.0,0.0,1.0,4.593,736.921
1.0,1.0,0.0,1.0,7.258,744.179
0.0,1.0,0.0,1.0,4.595,748.774
0.0,0.0,1.0,1.0,3.687,752.461
1.0,0.0,0.0,1.0,3.589,756.050
0.0,0.0,0.0,1.0,4.570,760.619
1.0,1.0,0.0,1.0,7.262,767.881
1.0,0.0,1.0,1.0,3.632,771.513
0.0,0.0,0.0,1.0,0.950,772.463
1.0,0.0,0.0,1.0,7.273,779.736
0.0,0.0,0.0,1.0,4.598,784.335
1.0,1.0,0.0,1.0,7.275,791.609
0.0,1.0,0.0,1.0,4.609,796.218
0.0,0.0,1.0,1.0,3.708,799.926
1.0,0.0,0.0,1.0,3.601,803.527
0.0,0.0,0.0,1.0,4.594,808.121
1.0,1.0,0.0,1.0,7.288,815.409
1.0,0.0,1.0,1.0,3.663,819.072
0.0,0.0,0.0,1.0,0.950,820.023
1.0,0.0,0.0,1.0,7.321,827.344
0.0,0.0,0.0,1.0,4.628,831.972
1.0,1.0,0.0,1.0,7.321,839.293
0.0,1.0,0.0,1.0,4.636,843.929
0.0,0.0,1.0,1.0,3.730,847.659
1.0,0.0,0.0,1.0,3.622,851.281
0.0,0.0,0.0,1.0,4.607,855.888
1.0,1.0,0.0,1.0,7.304,863.192
1.0,0.0,1.0,1.0,3.650,866.842
0.0,0.0,0.0,1.0,0.952,867.794
1.0,0.0,0.0,1.0,7.300,875.094
0.0,0.0,0.0,1.0,4.598,879.692
1.0,1.0,0.0,1.0,7.271,886.963
0.0,1.0,0.0,1.0,4.594,891.557
0.0,0.0,1.0,1.0,3.700,895.257
1.0,0.0,0.0,1.0,3.582,898.839
0.0,0.0,0.0,1.0,4.555,903.394
1.0,1.0,0.0,1.0,7.247,910.641
1.0,0.0,1.0,1.0,3.608,914.249
0.0,0.0,0.0,1.0,0.944,915.193
1.0,0.0,0.0,1.0,7.230,922.423
0.0,0.0,0.0,1.0,4.561,926.984
1.0,1.0,0.0,1.0,7.218,934.201
0.0,1.0,0.0,1.0,4.575,938.776
0.0,0.0,1.0,1.0,3.679,942.455
1.0,0.0,0.0,1.0,3.575,946.030
0.0,0.0,0.0,1.0,4.556,950.586
1.0,1.0,0.0,1.0,7.245,957.831
