//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 5-24-2021
//--  Time: 16:5
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: AFR Table 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:linearGenerator
//-- Table Identifier:002//-- generated by Custom linear generator using user input data:
//-- Volts:1, 4     AFR:9.29, 16.81
//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
0	6.78	68 	0.000
1	6.80	68 	0.005
2	6.81	68 	0.010
3	6.82	68 	0.015
4	6.83	68 	0.020
5	6.84	68 	0.024
6	6.86	69 	0.029
7	6.87	69 	0.034
8	6.88	69 	0.039
9	6.89	69 	0.044
10	6.91	69 	0.049
11	6.92	69 	0.054
12	6.93	69 	0.059
13	6.94	69 	0.063
14	6.95	70 	0.068
15	6.97	70 	0.073
16	6.98	70 	0.078
17	6.99	70 	0.083
18	7.00	70 	0.088
19	7.02	70 	0.093
20	7.03	70 	0.098
21	7.04	70 	0.103
22	7.05	71 	0.107
23	7.06	71 	0.112
24	7.08	71 	0.117
25	7.09	71 	0.122
26	7.10	71 	0.127
27	7.11	71 	0.132
28	7.13	71 	0.137
29	7.14	71 	0.142
30	7.15	72 	0.146
31	7.16	72 	0.151
32	7.18	72 	0.156
33	7.19	72 	0.161
34	7.20	72 	0.166
35	7.21	72 	0.171
36	7.22	72 	0.176
37	7.24	72 	0.181
38	7.25	72 	0.186
39	7.26	73 	0.190
40	7.27	73 	0.195
41	7.29	73 	0.200
42	7.30	73 	0.205
43	7.31	73 	0.210
44	7.32	73 	0.215
45	7.33	73 	0.220
46	7.35	73 	0.225
47	7.36	74 	0.229
48	7.37	74 	0.234
49	7.38	74 	0.239
50	7.40	74 	0.244
51	7.41	74 	0.249
52	7.42	74 	0.254
53	7.43	74 	0.259
54	7.44	74 	0.264
55	7.46	75 	0.269
56	7.47	75 	0.273
57	7.48	75 	0.278
58	7.49	75 	0.283
59	7.51	75 	0.288
60	7.52	75 	0.293
61	7.53	75 	0.298
62	7.54	75 	0.303
63	7.55	76 	0.308
64	7.57	76 	0.313
65	7.58	76 	0.317
66	7.59	76 	0.322
67	7.60	76 	0.327
68	7.62	76 	0.332
